"","Estimate","Std. Error","t value","Pr(>|t|)"
"countryPeru",4.81714069695118,2.09774140599619,2.29634629091166,0.0216800346763433
"countryPhilippines",4.24004699586539,2.08685392585233,2.03178906934449,0.0422057138946397
"countryPoland",3.5517329567606,2.07428957457601,1.71226476779964,0.0868839615244963
"countryPortugal",5.72936126926798,2.0859829663017,2.74660021765457,0.00603418641142443
"countryPuerto Rico",3.38230728478288,2.12230968605018,1.59369167799336,0.111041883458274
"countryQatar",4.58630821390101,2.30810627625618,1.98704377743825,0.0469492416419607
"countryRomania",3.75261092789455,2.08629296124269,1.79869797655806,0.0721015438521762
"countryRussia",4.10678209709567,2.08745163924836,1.96736634271174,0.0491731054397589
"countrySaudi Arabia",5.42315014036233,2.08297918494557,2.60355464882096,0.00924211821754694
"countrySerbia",4.023175192604,2.41213853794136,1.66788728313987,0.0953745364410464
"countrySingapore",5.68426746708524,2.09329704933728,2.71546146252146,0.00663157478070855
"countrySlovakia",4.2698115538939,2.09118714686394,2.04181225974784,0.0412006261017996
"countrySlovenia",4.63426963704245,2.2519098657749,2.05792856431568,0.0396270821750513
"countrySouth Africa",3.15243977362716,2.07760928347608,1.51734004978683,0.129217633434322
"countrySouth Korea",5.79150113193666,2.12808128738375,2.7214661236257,0.00651239706905368
"countrySpain",5.08297307546793,2.07716068247044,2.44707745450996,0.0144218717902034
"countrySri Lanka",4.34419824455192,2.12195878681543,2.04725853845237,0.0406630481198884
"countrySweden",4.59442703075239,2.07898214209682,2.20994059435187,0.0271355439104131
"countrySwitzerland",5.72092385007331,2.07996643015776,2.75048854977885,0.00596310036732016
"countryTaiwan - China",4.5755343545285,2.11028415577799,2.16820769942315,0.0301702373189236
"countryTanzania",3.86170748845596,2.45687112049861,1.57179896667606,0.1160339940809
"countryThailand",4.70845126610069,2.08015475228144,2.26351008786084,0.0236290937593899
"countryTunisia",1.47466499460121,2.25980373886639,0.652563304165944,0.514055303392121
"countryTurkey",5.43247407105719,2.08325867368067,2.60768100461532,0.0091315473361372
"countryUAE",5.75729251435421,2.09951553904504,2.74220047781733,0.00611554204624846
"countryUK",5.02481536108553,2.07042823234832,2.42694495881476,0.0152469859405638
"countryUkraine",2.56640640212707,2.1086641276164,1.21707690120764,0.223608378485214
"countryUSA",2.66023378068287,2.08741776436997,1.27441369240516,0.202551300389324
"countryVenezuela",4.5914861860537,2.1460524698144,2.13950322773365,0.0324230209842677
"countryVietnam",3.38841236593583,2.07802666039108,1.6305913829316,0.103013213166105
"companyBrand 1",-0.785555259959068,0.303541816932942,-2.58796388549197,0.00967075786396789
"companyBrand 10",-2.69563696642468,1.04714287908884,-2.57427808588094,0.0100615391383617
"companyBrand 100",-0.637612771840948,3.274245149619,-0.194735807095917,0.845604381635104
"companyBrand 1000",36.9519057356161,4.42492622718986,8.35085238451153,7.83256845426694e-17
"companyBrand 1001",12.1071835666019,13.2679371210777,0.912514391356906,0.361523593965096
"companyBrand 1002",13.4374322406141,7.34875766376583,1.82853114164716,0.067504517999805
"companyBrand 1003",0.136940696316194,5.01454903123276,0.0273086763063376,0.978214170834152
"companyBrand 1004",-42.9184024007325,12.674223660807,-3.38627465865628,0.000711659518915525
"companyBrand 1005",-2.7843352041954,1.57603407342213,-1.76667195915987,0.0773186727513993
"companyBrand 1006",3.59305828662767,0.834882742085012,4.30366817459237,1.69854955795878e-05
"companyBrand 1007",-1.23673253954761,2.72716191402631,-0.453487023702867,0.650209535243801
"companyBrand 1008",7.40630249582888,4.3648482955395,1.6968063937978,0.0897694814936943
"companyBrand 1009",-2.10788193854844,1.89692226739464,-1.11121155293493,0.266508386193419
"companyBrand 101",8.16521663102195,2.6263336619354,3.10897916337288,0.00188348434343501
"companyBrand 1010",11.2117650972999,5.32243493277197,2.1065105048566,0.0351889457533226
"companyBrand 1011",7.44248091670223,2.77840771031583,2.6786856691584,0.00740524073077925
"companyBrand 1012",5.20888570763081,3.72465765465779,1.39848710689342,0.162002925483585
"companyBrand 1013",-2.91630968225641,1.14620594696378,-2.54431560923368,0.0109665566548078
"companyBrand 1014",-39.0145752007712,7.92862880576224,-4.92072162243449,8.78276719386901e-07
"companyBrand 1015",-2.69300360493055,3.08184982318747,-0.873827006322212,0.382236887349355
"companyBrand 1016",-6.64312918422088,7.36027161444612,-0.902565765532661,0.366781698373553
"companyBrand 1017",-0.318217788001524,3.46781337427151,-0.0917632391530794,0.926888290446839
"companyBrand 1018",1.66619368791575,1.77173216682639,0.940432035447163,0.347022428190555
"companyBrand 1019",-2.97707363896748,3.78544873192742,-0.786451976976493,0.431624427621646
"companyBrand 102",1.9355499760346,2.85407323931462,0.678171095742242,0.497681475725142
"companyBrand 1020",-37.9768025004126,18.6968949767488,-2.03118231918402,0.0422672168294846
"companyBrand 1021",-19.8120946036992,7.19886130385626,-2.7521150592367,0.00593358926042434
"companyBrand 1022",65.0897234701243,22.4466243665134,2.89975554485722,0.00374399912687268
"companyBrand 1023",-57.9499364629168,35.4853763668354,-1.63306529044107,0.10249189860846
"companyBrand 1024",-2.70101437904233,6.33737187682755,-0.426204179199035,0.669969746777801
"companyBrand 1025",-1.43665532534924,5.7357233414244,-0.250475003732042,0.802226020357282
"companyBrand 1026",3.79692586104215,3.84660622474795,0.987084624522738,0.323628943676245
"companyBrand 1027",-0.604941644127226,1.01321300720361,-0.597052781425319,0.550487870506287
"companyBrand 1028",6.28332859569111,29.708026764333,0.211502724349056,0.832500021746611
"companyBrand 1029",-3.43349694107317,2.72008177306461,-1.26227710323752,0.206883345514972
"companyBrand 103",-1.30047559318219,1.31864098104886,-0.986224159473479,0.324050890814509
"companyBrand 1030",-4.13984314356697,9.55554214678954,-0.433240006686368,0.664851290458748
"companyBrand 1031",2.68925475633176,2.65914427594361,1.01132337220682,0.311890155159393
"companyBrand 1032",0.906852498844789,6.89047990663872,0.131609483103067,0.895296265137598
"companyBrand 1033",-11.3307217692886,2.7858452927512,-4.06724730866114,4.79966696661609e-05
"companyBrand 1034",2.89918944563432,7.59058446160944,0.381945482630148,0.702511246572509
"companyBrand 1035",5.22390862663121,2.65145091866773,1.97020755309929,0.0488466425116556
"companyBrand 1036",0.522858653463667,1.75048744653022,0.298693175149623,0.765181386697734
"companyBrand 1037",2.34449845407383,3.42795224162081,0.683935565264848,0.49403429523266
"companyBrand 1038",-1.22390881759393,2.85260371876425,-0.429049716770379,0.667897798804252
"companyBrand 1039",12.575695079385,12.0609843975785,1.04267567760968,0.297127855722005
"companyBrand 104",-2.81035439451464,2.62344706389765,-1.07124494074574,0.284089392004913
"companyBrand 1040",-3.21999686518829,1.55987925047101,-2.06426033567406,0.0390229803125371
"companyBrand 1041",253.184531699638,73.8588754914398,3.42794999267192,0.000611009996428058
"companyBrand 1042",-20.6666111437823,7.4586582806475,-2.7708215561242,0.00560352223254287
"companyBrand 1043",-8.02933076893502,3.91315108512689,-2.05188365955327,0.0402112035629873
"companyBrand 1044",1.78080494669283,2.82755421088872,0.6298039980401,0.528839572726703
"companyBrand 1045",24.0242051365787,7.24017153115747,3.31818176312433,0.000909820507674332
"companyBrand 1046",-3.19060213709711,4.87057140676473,-0.655077581383097,0.512435338237179
"companyBrand 1047",-3.14189547537699,3.53424272957995,-0.888986896423611,0.374035003991959
"companyBrand 1048",-0.82692186615285,0.882529477360242,-0.936990647186402,0.34878969872155
"companyBrand 1049",-3.28455523054277,4.83879477254443,-0.678796143448676,0.49728531622947
"companyBrand 105",0.817218240769644,1.56544176702493,0.522036819244156,0.601658149541894
"companyBrand 1050",41.8430884304917,9.57761334981758,4.36884293635519,1.26372868379533e-05
"companyBrand 1051",-2.8161558530584,3.41285794726024,-0.825160582883076,0.409303331821828
"companyBrand 1052",-0.781126108651685,4.33233382221366,-0.180301458914946,0.856920161597481
"companyBrand 1053",6.68968262609382,3.39171629530429,1.97235913727674,0.0486006320924973
