"","Estimate","Std. Error","t value","Pr(>|t|)"
"countryMexico",3.33948503920475,2.09423489223459,1.59460863324718,0.110836548669087
"countryMorocco",3.58663191749653,2.08869809932611,1.71716147903505,0.0859856965569456
"countryMyanmar",3.38949505550712,2.10507309498409,1.61015551601677,0.107400632107506
"countryNetherlands",5.30491177682249,2.07854637425301,2.55222199635982,0.010720972513043
"countryNew Zealand",4.44367483066971,2.10049063461666,2.1155413680198,0.034412519327528
"countryNigeria",3.49270303669407,2.08398573364732,1.67597262318167,0.0937799260784452
"countryNorway",6.56416782149284,2.08239474808898,3.15222069567588,0.00162590773154342
"countryOman",3.32950718988089,2.54552967008895,1.30798207893784,0.190914368147857
"countryPakistan",2.38153707459774,2.64669083629656,0.899816873938384,0.368242922174964
"countryPanama",4.24712988593193,2.5468973906267,1.66757008019348,0.0954375315930372
"countryPeru",4.84033690286224,2.09890985363792,2.30611948125011,0.021127635500968
"countryPhilippines",4.23942204221267,2.08802825745303,2.03034706406891,0.0423520025190519
"countryPoland",3.5512691397842,2.0754568397191,1.71107828976334,0.0871027432516256
"countryPortugal",5.73311264815622,2.08715650041995,2.74685326519726,0.00602953564112795
"countryPuerto Rico",3.40289856504446,2.12349461669342,1.6024992662064,0.109081996151245
"countryQatar",4.58214320978489,2.3094047703087,1.98412303841062,0.0472738804298225
"countryRomania",3.759614704957,2.08746588416923,1.80104246659497,0.0717312249131669
"countryRussia",4.11151297527762,2.0886258135493,1.96852540488846,0.0490397017723196
"countrySaudi Arabia",5.41764435235137,2.08415066291839,2.59944947778639,0.00935330385454854
"countrySerbia",4.02676447241419,2.41349567623762,1.66843658021028,0.0952655155973035
"countrySingapore",5.68711416900077,2.09447483405514,2.71529362708545,0.00663493235618003
"countrySlovakia",4.27073486370416,2.09236390657564,2.04110520654776,0.0412708522571022
"countrySlovenia",4.64256550463719,2.2531756563704,2.06045431545085,0.0393851565919716
"countrySouth Africa",3.16235626597971,2.0787762036227,1.52125864269018,0.128231730319256
"countrySouth Korea",5.7950008636168,2.12927855802628,2.72157949544584,0.00651016404669401
"countrySpain",5.08394368747364,2.07832954688577,2.4461682196125,0.0144582667980194
"countrySri Lanka",4.34800070731451,2.12315256253266,2.04789838659916,0.0406002801296925
"countrySweden",4.59766105070757,2.08015181701785,2.21025264266474,0.027113880498318
"countrySwitzerland",5.72564308242269,2.08113639296019,2.75120991675061,0.00594999427586879
"countryTaiwan - China",4.52657664193381,2.11141845694261,2.14385577006295,0.0320724172795294
"countryTanzania",3.83033620566413,2.45823491061012,1.55816524658885,0.119230898824776
"countryThailand",4.71402692782225,2.08132462248566,2.26491671548691,0.0235425804278214
"countryTunisia",1.48252169238435,2.2610741237004,0.65567142485276,0.512053107991269
"countryTurkey",5.43496596475048,2.0844308512118,2.60741005708625,0.00913876948506054
"countryUAE",5.75820794605101,2.10069698581215,2.74109402019484,0.00613615496384047
"countryUK",5.02651765026505,2.07159326386321,2.42640181253116,0.0152698084672328
"countryUkraine",2.56198039365475,2.10985030596443,1.2142948655704,0.224668507299112
"countryUSA",2.65604482626859,2.08859202811473,1.27169154651331,0.203517144081921
"countryVenezuela",4.60161459651777,2.14725788314366,2.14301907220424,0.0321395604519995
"countryVietnam",3.39024196036164,2.07919595788842,1.63055432437675,0.103021034075316
"companyBrand 1",-0.777862234789159,0.303703493161816,-2.56125547549994,0.0104463776206798
"companyBrand 10",-2.63882655951902,1.04758770222774,-2.51895526637765,0.0117883560614729
"companyBrand 100",-0.592638832726594,3.27605872579749,-0.180899941768391,0.856450379811613
"companyBrand 1000",38.1958430326578,4.71498447369153,8.10094778589015,6.200469585099e-16
"companyBrand 1001",30.5821805924298,15.844492905618,1.93014574682831,0.053621644832929
"companyBrand 1002",2.23487730065272,9.82570568517879,0.227452090695515,0.820077628907967
"companyBrand 1003",0.13154289612448,5.01737060829819,0.0262174964526086,0.979084469178767
"companyBrand 1004",-28.6697592475844,9.67820052925578,-2.96230266782755,0.00306183419735012
"companyBrand 1005",-2.767583239086,1.57691261499876,-1.75506442954557,0.079283912158733
"companyBrand 1006",3.5871076938644,0.835350570219341,4.294134488856,1.77303045575631e-05
"companyBrand 1007",-1.26336667763605,2.72868438742839,-0.462994798319895,0.643379817644647
"companyBrand 1008",7.36279631418877,4.36728421664028,1.6858981346199,0.0918517175305548
"companyBrand 1009",-2.06116339443476,1.89793580863137,-1.08600269042877,0.277508258812427
"companyBrand 101",8.22242987164201,2.62775318004566,3.1290723702974,0.00175945810302257
"companyBrand 1010",11.2923743478739,5.32537283056923,2.12048521430317,0.0339937098513447
"companyBrand 1011",7.55674521670548,2.77975099670854,2.71849716958581,0.00657107899633687
"companyBrand 1012",5.31387324255109,3.72661496496258,1.4259249459662,0.15392632495782
"companyBrand 1013",-2.84871868675031,1.14666416473725,-2.4843531125812,0.012997600079161
"companyBrand 1014",-39.0203252085653,7.93309030687171,-4.91867906442028,8.87461686998043e-07
"companyBrand 1015",-2.68396332443547,3.08358283734666,-0.870404158412345,0.384103883188833
"companyBrand 1016",-6.31703747973391,7.97396230472508,-0.792208094085253,0.428261213771985
"companyBrand 1017",-0.280846483426238,3.46974595303851,-0.0809415119225936,0.935490351081919
"companyBrand 1018",1.67552711786928,1.77272687394267,0.945169356034405,0.344598990361783
"companyBrand 1019",-1.22060772257162,5.73691821732271,-0.212763660964519,0.83151635481526
"companyBrand 102",1.94919728551669,2.85567626091451,0.682569418738127,0.494897358960606
