"","Estimate","Std. Error","t value","Pr(>|t|)"
"countryUSA",0.251360757651553,2.68474891282588,0.0936254248770619,0.925408173904329
"countryVenezuela",0.808778511486502,2.74098479406487,0.295068587479132,0.767946259186256
"countryVietnam",-0.732049214836585,2.6859128346767,-0.272551367038202,0.785202485865008
"companyBrand 1",-0.358817497892012,0.139054973413071,-2.5804003199952,0.00987959061218903
"companyBrand 10",-1.15615055546734,0.618322427470687,-1.86981824385166,0.0615318153458027
"companyBrand 100",-1.50406721936226,3.45908802240284,-0.434816116161587,0.663703217948255
"companyBrand 1000",26.8460316781175,3.46136961286356,7.75589858371354,9.4325390091353e-15
"companyBrand 1001",1.75533441765995,3.45462931286229,0.508110786626074,0.611384385135344
"companyBrand 1002",11.7382896711136,3.45931537655321,3.39324068301903,0.000692797317263812
"companyBrand 1003",1.08562487824006,3.4630521398842,0.31348788132204,0.753915121674525
"companyBrand 1004",-1.31474444349057,2.0136204942556,-0.652925636802584,0.513815917697476
"companyBrand 1005",-3.43369664860874,1.99693686573665,-1.71948182615282,0.0855507889782386
"companyBrand 1006",5.32337552811018,0.783674926450634,6.79283635144541,1.14799429104959e-11
"companyBrand 1007",-2.13804049986351,3.46799895510818,-0.616505520197544,0.53757186645955
"companyBrand 1008",0.589316737364862,3.45799046883395,0.170421735593615,0.864681166427969
"companyBrand 1009",-1.95184847558618,2.44630747194696,-0.79787536847637,0.4249575831513
"companyBrand 101",9.28069326292479,3.45673946906608,2.68481132176044,0.00726640070000627
"companyBrand 1010",4.3508738732513,1.55037431640248,2.80633768711233,0.00501836464268362
"companyBrand 1011",6.95466156586474,3.46879711309265,2.00492024731427,0.0449925394830468
"companyBrand 1012",6.99927592775058,3.46905641388503,2.01763104795175,0.0436504764415207
"companyBrand 1013",-2.38602779775629,1.06216883115817,-2.2463733897695,0.0246970378469441
"companyBrand 1014",-1.93748231918029,1.80266351604011,-1.07478866795747,0.282489563841215
"companyBrand 1015",0.271756614981965,3.46839597814945,0.0783522460220818,0.937549080527511
"companyBrand 1016",-2.33239782426801,3.48929116400413,-0.668444596521282,0.503861859897915
"companyBrand 1017",0.953695495438009,3.46014387238491,0.275623075401392,0.782842022458521
"companyBrand 1018",3.68997815448263,2.00416120964674,1.84115835428879,0.0656214255243325
"companyBrand 1019",-1.14946647563039,2.00720379902613,-0.572670536090105,0.566877824206744
"companyBrand 102",-0.102640241219178,3.45658941140741,-0.0296940796267111,0.976311495402835
"companyBrand 1020",-0.0839497480610483,3.45673063958643,-0.0242858807393486,0.98062495297573
"companyBrand 1021",-1.67564871536727,3.45803756327146,-0.48456637173774,0.627992243537884
"companyBrand 1022",0.247103561222503,3.45543740170109,0.0715115143167853,0.942991775375448
"companyBrand 1023",4.34890953800381,1.72966324511792,2.51430996772284,0.0119386884261724
"companyBrand 1024",-3.00548803895607,3.53866330350169,-0.849328625298141,0.395714301494659
"companyBrand 1025",-0.484659647246554,3.45467427527225,-0.140290982196392,0.888432290949917
"companyBrand 1026",-0.284385752731013,3.45598598297575,-0.0822878779404497,0.934419077177188
"companyBrand 1027",-1.57701356070404,1.24086099767641,-1.27090267455991,0.20378631352239
"companyBrand 1028",-1.5840728065134,2.44700167283423,-0.647352563792347,0.517415369703167
"companyBrand 1029",-4.07458495959438,3.50592524621902,-1.16219961163993,0.245176007304949
"companyBrand 103",-1.78663207600427,1.55971759676889,-1.14548433620641,0.252029942911992
"companyBrand 1030",10.3850455035933,1.99649338062686,5.2016428425786,2.00576281924534e-07
"companyBrand 1031",1.09825660932775,3.46836358327369,0.316649792606557,0.751514500301687
"companyBrand 1032",-4.40030942822466,3.45608450926289,-1.27320654817065,0.202967822065518
"companyBrand 1033",-0.359423942559108,2.46673495358543,-0.145708375371533,0.884153898000671
"companyBrand 1034",5.17398942986357,2.46786543582425,2.09654438801907,0.0360534554399137
"companyBrand 1035",6.16019558765975,3.4692105572919,1.77567647910897,0.0758099507194192
"companyBrand 1036",-2.30641809857226,2.19457811790581,-1.05096195015978,0.293295857043325
"companyBrand 1037",-1.75324868563056,1.73861619106719,-1.00841617295327,0.31327372646421
"companyBrand 1038",-2.59820020107761,2.44876478339181,-1.06102481491865,0.288698593214088
"companyBrand 1039",0.846571383889553,3.45538735913813,0.245000428577336,0.806460017203794
"companyBrand 104",-2.43090006152042,3.45789324599802,-0.703000320884347,0.482068303021769
"companyBrand 1040",-3.40504261488649,2.00801837719651,-1.69572283478821,0.0899626403883155
"companyBrand 1041",7.01745332180505,3.46096493633373,2.02760023603093,0.042621689173566
"companyBrand 1042",-0.0641579713347951,3.45809905537465,-0.0185529593882163,0.985198017788328
"companyBrand 1043",0.0199080165064306,3.4566074587589,0.00575940911542749,0.995404771322121
"companyBrand 1044",1.16390902606943,3.45617276771903,0.336762397105967,0.736301528936334
"companyBrand 1045",3.81145346144474,3.45607929284379,1.10282581459771,0.270123497625813
"companyBrand 1046",-2.59126994108492,3.48935737625307,-0.742620964742645,0.457724785952705
"companyBrand 1047",-2.10879676752708,2.49473219841404,-0.845299855779187,0.397959202287439
"companyBrand 1048",-0.294472665206861,1.06890568504737,-0.275489848474153,0.782944359790212
"companyBrand 1049",3.54890340264961,1.0973291448387,3.23412844663965,0.00122323285574221
"companyBrand 105",1.57321006488841,0.613454038620985,2.56451170885583,0.0103433826136819
"companyBrand 1050",3.73690331622779,3.46252496765007,1.07924227294856,0.280500024688516
"companyBrand 1051",-0.621941352242822,3.48060175514834,-0.178687881003012,0.858185606523799
"companyBrand 1052",-2.28502844318917,3.45474133063948,-0.661418098924994,0.508356097858636
"companyBrand 1053",2.283134857359,3.45678486448908,0.66047930283809,0.508958152100226
"companyBrand 1054",-0.843725915767155,3.46000598618842,-0.243850998852349,0.807350119234101
"companyBrand 1055",-3.57194062509008,2.51867066503696,-1.41818486818231,0.156161082531337
"companyBrand 1056",4.07889513803978,1.41390011714352,2.88485380868368,0.00392247441411128
"companyBrand 1057",-3.58996308036672,2.01275760573387,-1.78360428008806,0.0745116158286728
"companyBrand 1058",8.0028329916852,1.73129880183848,4.62244471213571,3.82941486448155e-06
"companyBrand 1059",-1.3550410689531,3.46916104544854,-0.390596184841543,0.696102230155274
"companyBrand 106",-2.65999539138713,2.00485911792804,-1.32677421949536,0.18460699031913
"companyBrand 1060",3.58619682806658,3.4573527842999,1.0372666753453,0.299631137396004
"companyBrand 1061",-0.628919357183493,1.58645277153481,-0.396431188162663,0.691793553901021
"companyBrand 1062",-0.730557511719449,3.45923767247318,-0.211190320206341,0.832742117447588
"companyBrand 1063",1.88376934538183,2.00058816642834,0.941607761653883,0.346411220236076
"companyBrand 1064",-0.423832703700348,1.04479803966635,-0.405659933890857,0.68499924862945
"companyBrand 1065",-0.548414845751205,1.83570246055636,-0.298749311250034,0.765136166930257
"companyBrand 1066",5.32928011565357,3.45274329595399,1.54349155406327,0.122736214452966
"companyBrand 1067",0.278978888883454,1.30911709947679,0.213104609965719,0.831248754330101
"companyBrand 1068",2.81489938507845,1.54998751786186,1.81607874427368,0.0693816188328767
"companyBrand 1069",5.234883545207,1.99738620048311,2.62086698303054,0.00878098667295811
"companyBrand 107",-2.538329147498,1.57215079378512,-1.61455832197031,0.106430963813907
"companyBrand 1070",7.65629064776484,3.46470084808226,2.20979847423268,0.027136739591309
"companyBrand 1071",76.985294951551,3.46589265348499,22.2122560184146,2.71630248254539e-107
"companyBrand 1072",-1.76534751725084,1.41809576206865,-1.24487186582917,0.213201588104029
"companyBrand 1073",-2.61705201605239,2.45001642769037,-1.06817733402689,0.285460621215174
